record_type,source,tip_or_object,classification,retained_or_destination,verification,disposition
remote-ref,refs/heads/main@pre-cutover,725951268d08fc24ddc244099024baaa55037661,cutover-source,refs/heads/archive/cutover/main-2026-08-13,exact-sha,retain-archive
remote-ref,refs/heads/Fast-forward,7c3c1073dd1c7fe30fd3e0409e64c96658f4347f,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/Jason1,bae40c4d4a637e3c0c560ef2e16f8f08005bf253,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/codex/deploy-readiness-panel,989aa6b64297ad53392882ff9f3c2ea4c0f87503,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/codex/initial-redrhex-ros2-rl-stack,4ffeb5ae60e482980afda10c2cbd7df05d6e9266,significant-unmatched,refs/heads/archive/legacy/codex-initial-redrhex-ros2-rl-stack,exact-sha,delete-source-retain-archive
remote-ref,refs/heads/codex/redrhex-onnx-sim2real-deploy,93768f5dede44b5ef4e1dd3329e2d1e91c27484a,significant-unmatched,refs/heads/archive/legacy/codex-redrhex-onnx-sim2real-deploy,exact-sha,delete-source-retain-archive
remote-ref,refs/heads/docs/documentation-system-v1,c0bc9d8da17c552b59fb86740f9a50c0255fb540,merged,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/feature/add-obstacles,b15b08da382dbaa2086eb0db8060c05efb43bcb2,significant-unmatched,refs/heads/archive/legacy/feature-add-obstacles,exact-sha,delete-source-retain-archive
remote-ref,refs/heads/feature/direction-tracking,bd86441e8533364e36e61cbb9bc5cbfe26f6d3be,patch-equivalent,refs/heads/main,git-cherry-minus-only,delete-after-protection
remote-ref,refs/heads/feature/torsion-spring-v1,30ae902f67f67efba5d05aecd23bd832b103abfe,merged,refs/heads/main@6e5fa75cfff727bdd3ab74a1fcbba541f1de2281,ancestor,remote-topic-deleted
remote-ref,refs/heads/feature/training-panel-v3.6,e7b3f52d10fe43f49a4c51fd33b8f2f0282ca000,merged,refs/heads/main@39b983abfe70d1d0a82ff727407a3eeacc0b92ba,ancestor,remote-topic-deleted
remote-ref,refs/heads/feature/macos-remote-launcher,4fc7295b2c02363bdc62c78ade865672b9acd849,merged,refs/heads/main@55e6611008e4ec7c0508cd4be1d1e639de42655b,ancestor,delete-after-protection
remote-ref,refs/heads/feature/student-distillation-v2,b46e6ac60ee44e8456900751399834d6387909fd,merged,refs/heads/main@b66d3760ffeffd1c0f95c1b9bb018ec797bb0357,ancestor,delete-after-protection
