source_path,source_line,heading_level,source_heading,disposition,replacement_ids,removal_commit
README.md,0,0,<document>,migrated,documentation-home;operator-documentation;developer-documentation,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,1,1,RedRhex Hexapod Robot - Isaac Lab RL Training Project,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,9,2,Overview,migrated,system-architecture;policy-contract-reference;runtime-layout,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,18,2,Project Structure,migrated,system-architecture;policy-contract-reference;runtime-layout,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,45,2,Prerequisites,migrated,operator-getting-started;compatibility-reference,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,53,2,Installation,migrated,operator-getting-started;compatibility-reference,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,55,3,1. Clone the Repository,migrated,operator-getting-started;compatibility-reference,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,62,3,2. Install RedRhex Package,migrated,operator-getting-started;compatibility-reference,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,73,3,3. Verify Installation,migrated,operator-getting-started;compatibility-reference,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,83,2,Quick Start,migrated,documentation-home;operator-documentation;developer-documentation,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,85,3,Training a New Policy,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,101,3,Playing a Trained Model,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,111,3,Testing with Dummy Agents,migrated,operator-play-export-video;command-reference,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,121,2,Configuration,migrated,system-architecture;policy-contract-reference;runtime-layout,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,123,3,Main Environment Configuration,migrated,system-architecture;policy-contract-reference;runtime-layout,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,153,3,Training Configuration,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,169,2,Robot Specifications,migrated,system-architecture;policy-contract-reference;runtime-layout,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,179,2,Training Tips,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,190,2,Troubleshooting,migrated,operator-training-troubleshooting,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,192,3,Physics Explosion,migrated,operator-training-troubleshooting,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,200,3,Slow Convergence,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,208,3,Memory Issues with Large num_envs,migrated,operator-training-troubleshooting,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,216,3,Import Errors,migrated,operator-getting-started;compatibility-reference,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,229,2,Performance Metrics,migrated,training-stack-evidence-2026-07,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,231,3,Expected Training Results,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,237,3,Convergence Speed,migrated,operator-launch-training;operator-staged-training;operator-monitor-training;training-policy-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,242,2,Contributing,migrated,subsystem-ownership;developer-documentation,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,250,2,Code Style,migrated,subsystem-ownership;developer-documentation,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,263,2,References,migrated,locomotion-literature,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,269,2,Team,migrated,subsystem-ownership;developer-documentation,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,273,2,License,migrated,system-architecture,c1cb835c25146b98e1eb6317fa639a58180ebf32
README.md,277,2,Contact,migrated,subsystem-ownership;developer-documentation,c1cb835c25146b98e1eb6317fa639a58180ebf32
docs/2026_Midterm.md,0,0,<document>,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
